osm_id,category,name,name_ar,lat,lon,capacity,available,is_shelter,province,pm2_5,us_aqi,observation_time,wheelchair_accessible,ground_floor,medical_staff_onsite
275740423,school,Ecole مدرسة غزالي لخضر,Ecole مدرسة غزالي لخضر,36.12221232,6.789012080000001,1533,1533,True,Constantine,,,,,,
275740434,school,CEM,,36.12273948235294,6.787663588235295,3482,3482,True,Constantine,,,,,,
275740439,school,Ecole Maazaoui Abdelmadjid,,36.12232065555556,6.783943533333333,1862,1862,True,Constantine,,,,,,
275745138,school,CEM Amara Chaabane,,36.12523585,6.7843000625,3961,3961,True,Constantine,,,,,,
275745141,school,CEM Yahia Ben Yahia,,36.12231768,6.80054804,4358,4358,True,Constantine,,,,,,
275745143,health_facility,Centre médical,,36.12320453333333,6.7849158,100,100,False,Constantine,,,,,,
275836779,place_of_worship,Mosquée Ousama Ben Zayed,,36.11756754,6.82043694,454,454,True,Constantine,,,,,,
275836783,school,Ecole Djamel Mohamed,,36.11762269285715,6.821264242857143,1756,1756,True,Constantine,,,,,,
275855343,school,Lycée Taieb El Okbi,,36.11005912666667,6.894694386666667,7453,7453,True,Oum El Bouaghi,,,,,,
276042537,place_of_worship,,,36.10938992,6.90418358,412,412,True,Oum El Bouaghi,,,,,,
276042541,place_of_worship,Mosquée Omar Ben Abdelaziz,,36.112007166666665,6.881508644444445,901,901,True,Oum El Bouaghi,,,,,,
276044147,school,مدرسة جلاب صالح,مدرسة جلاب صالح,36.110478871428576,6.9453124,2289,2289,True,Oum El Bouaghi,,,,,,
276044148,place_of_worship,Mosquée Okba Ben Nafaa,,36.10951786,6.94437364,555,555,True,Oum El Bouaghi,,,,,,
276156230,school,Lycée Messas Mohamed Ibahimi,,36.0493786,6.5702900500000005,13636,13636,True,Constantine,,,,,,
276156257,school,Lycée Bouafia Smail,,36.04210554615385,6.561268338461539,17697,17697,True,Constantine,,,,,,
276212674,place_of_worship,Mosquée El Sahaba,,36.0412959,6.57144858,2976,2976,True,Constantine,,,,,,
276227533,place_of_worship,,,36.03461218333334,6.577889966666667,1710,1710,True,Constantine,,,,,,
276241415,place_of_worship,,,36.02884178,6.5680333200000005,1715,1715,True,Constantine,,,,,,
276254902,place_of_worship,Mosquée Omar Ibn Khettab,مسجد عمر بن الخطاب عين مليلة,36.0351376875,6.5684354375,1877,1877,True,Constantine,,,,,,
276254906,school,CEM Abdellah Grabsi,,36.03537396666667,6.5639829,3202,3202,True,Constantine,,,,,,
276264717,school,Lycée Ahmed Cherif Mentouri,,36.0403824,6.570863927272726,8135,8135,True,Constantine,,,,,,
276264722,school,Ecole Mohamed Khemisti,,36.04012053076923,6.573045792307692,2867,2867,True,Constantine,,,,,,
276264723,school,CEM Belaabed Mohaled El Djilali,,36.042723338461535,6.574061438461538,6834,6834,True,Constantine,,,,,,
276264727,school,مدرسة مريم سعدان,,36.039558325,6.5721887,1252,1252,True,Constantine,,,,,,
276264735,school,CEM Abderrachid Khelifi El Touhami,,36.040252200000005,6.572279814285714,2790,2790,True,Constantine,,,,,,
276268206,school,CEM Abdelmadjid Mokadem,متوسطة مقدم عبد المجيد عين مليلة,36.03546035,6.5703879,3681,3681,True,Constantine,,,,,,
276272364,school,CEM Aboud Mellah,,36.03260134545455,6.574236290909091,6535,6535,True,Constantine,,,,,,
276272368,health_facility,Hôpital Slimane Amirat,Hôpital Slimane Amirat ( الباطوار),36.0177466,6.569966114285714,100,100,False,Constantine,,,,,,
276273756,school,Lycée Larbi Ben M'Hidi,,36.02045317272727,6.568956209090908,2927,2927,True,Constantine,,,,,,
276277719,fire_station,Unité de protection civile,الحماية المدنية,36.0325348,6.57584248,30,30,False,Constantine,,,,,,
276278497,school,Ecole 5 juillet,,36.03813364,6.56394466,1562,1562,True,Constantine,,,,,,
276278499,health_facility,Clinique d'Hémodialyse,,36.03857257777778,6.563765955555556,100,100,False,Constantine,,,,,,
276421207,school,Ecole frères Ziad,,36.0448795875,6.56902895,2446,2446,True,Constantine,,,,,,
276421209,health_facility,Polyclinique,,36.04441618571428,6.568958571428571,20,20,False,Constantine,,,,,,
276423843,place_of_worship,Mosquée Mohamed Bachir El Ibrahimi,,36.02131683333333,6.567228,1506,1506,True,Constantine,,,,,,
276425696,place_of_worship,,,36.04308522,6.5805086,877,877,True,Constantine,,,,,,
276425701,school,CEM,,36.0533750925926,6.570265559259259,4468,4468,True,Constantine,,,,,,
276425781,place_of_worship,,,36.05439349047619,6.571150314285714,2141,2141,True,Constantine,,,,,,
276425783,school,,,36.05298055714285,6.5698196285714285,1325,1325,True,Constantine,,,,,,
277036380,health_facility,DISPENSAIRE,,36.6807671,4.54493438,20,20,False,Tizi Ouzou,,,,,,
277041454,school,C.E.M,,36.67603844545455,4.502563190909091,1869,1869,True,Tizi Ouzou,,,,,,
277045122,place_of_worship,,,36.67798416666667,4.504181716666666,172,172,True,Tizi Ouzou,,,,,,
277160917,health_facility,Hôpital Mère et Enfant,,36.20160552,5.358292244,100,100,False,Sétif,,,,,,
277161076,health_facility,Centre anti-cancer,,36.20248191153846,5.359654061538462,100,100,False,Sétif,,,,,,
277170460,place_of_worship,مسجد أبي بن كعب,أبي بن كعب,36.19267745,5.3722441,2659,2659,True,Sétif,,,,,,
277170494,school,CEM Zouaoui,متوسطة زواوي,36.192912642857145,5.430266199999999,1503,1503,True,Sétif,,,,,,
277170497,school,ثانوية المعز لدين الله الفاطمي,ثانوية المعز لدين الله الفاطمي,36.19040092,5.39640078,4487,4487,True,Sétif,,,,,,
280736910,place_of_worship,Mosquée Okba Ibn Nafaâ,مسجد عقبة بن نافع,36.267511760000005,6.50119348,2206,2206,True,Constantine,,,,,,
280736912,school,متقن مصطفى كاتب,متقن مصطفى كاتب,36.2722662625,6.5044044125,10828,10828,True,Constantine,,,,,,
281098711,school,اكمالية احمد عمار بورغود,اكمالية احمد عمار بورغود,36.26428502857143,6.507039085714285,7741,7741,True,Constantine,,,,,,
