LAT,LON,YEAR,DOY,PRECTOTCORR,RH2M,T2M_MAX,T2M_MIN,WS2M,fire_occurred,fire_count,frp_sum,frp_mean,frp_max,brightness_mean,bright_t31_mean,any_high_confidence,WD2M
36.0,7.5,2020,3,0.0,67.36,14.35,-0.57,1.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
36.0,8.125,2020,3,0.0,64.73,15.66,0.03,1.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
36.5,5.0,2020,3,0.0,67.15,15.42,0.97,0.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
36.5,5.625,2020,3,0.0,68.65,14.74,2.25,1.46,1.0,1.0,0.48,0.48,0.48,296.81,272.46,0.0,
36.5,6.25,2020,3,0.0,72.13,15.31,1.3,1.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
36.5,6.875,2020,3,0.0,73.11,15.1,0.57,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
36.5,7.5,2020,3,0.0,73.3,15.46,1.02,1.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
36.5,8.125,2020,3,0.0,74.0,14.66,0.37,1.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
37.0,5.0,2020,3,0.01,67.82,15.18,11.62,2.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
37.0,5.625,2020,3,0.01,67.92,14.98,11.77,2.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
37.0,6.25,2020,3,0.01,68.09,15.18,9.5,1.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
37.0,6.875,2020,3,0.0,66.42,15.25,9.47,1.63,1.0,8.0,27.95,3.49375,5.31,326.06875,280.9775,0.0,
37.0,7.5,2020,3,0.01,66.1,15.04,10.3,1.6,1.0,3.0,3.43,1.143333333333333,1.33,306.01,279.36,0.0,
37.0,8.125,2020,3,0.0,66.98,14.79,10.31,1.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
36.0,5.0,2020,4,0.04,87.54,9.94,-2.33,2.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
36.0,5.625,2020,4,0.04,89.82,9.19,-1.62,1.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
36.0,6.25,2020,4,0.12,88.42,10.19,1.09,1.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
36.0,6.875,2020,4,0.21,89.72,9.8,0.13,1.66,1.0,1.0,0.78,0.78,0.78,298.29,271.69,0.0,
36.0,7.5,2020,4,0.34,91.57,9.55,-0.66,2.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
36.0,8.125,2020,4,0.45,89.24,10.83,0.16,2.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
36.5,5.0,2020,4,0.16,92.61,9.72,3.29,0.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
36.5,5.625,2020,4,0.12,91.61,9.94,2.51,1.38,1.0,2.0,2.88,1.44,1.59,304.08,273.185,0.0,
36.5,6.25,2020,4,0.24,91.13,11.16,2.89,1.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
36.5,6.875,2020,4,0.36,92.61,11.02,1.6,1.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
36.5,7.5,2020,4,0.59,92.93,11.43,1.82,1.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
36.5,8.125,2020,4,0.76,95.02,10.1,2.15,2.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
37.0,5.0,2020,4,0.23,76.85,13.87,11.97,2.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
37.0,5.625,2020,4,0.29,78.87,13.57,11.47,2.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
37.0,6.25,2020,4,0.36,82.68,13.26,9.88,3.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
37.0,6.875,2020,4,0.51,82.09,13.63,10.26,3.74,1.0,17.0,46.31,2.7241176470588235,5.97,321.1194117647059,277.7076470588235,0.0,
37.0,7.5,2020,4,0.72,79.82,14.16,11.68,4.1,1.0,3.0,3.5,1.1666666666666667,1.27,306.66333333333336,279.0466666666667,0.0,
37.0,8.125,2020,4,0.84,80.14,14.47,11.46,4.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
36.0,5.0,2020,5,0.05,82.89,11.54,1.43,1.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
36.0,5.625,2020,5,0.04,87.05,10.59,1.48,1.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
36.0,6.25,2020,5,0.04,86.26,11.33,2.88,1.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
36.0,6.875,2020,5,0.18,89.24,10.97,3.24,1.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
36.0,7.5,2020,5,0.55,92.02,9.99,4.39,2.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
36.0,8.125,2020,5,0.98,90.77,11.22,5.66,2.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
36.5,5.0,2020,5,0.03,86.95,12.11,3.46,0.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
36.5,5.625,2020,5,0.03,84.91,11.8,4.79,1.06,1.0,1.0,1.22,1.22,1.22,297.51,273.75,0.0,
36.5,6.25,2020,5,0.06,83.11,12.6,5.86,1.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
36.5,6.875,2020,5,0.25,87.68,12.47,6.04,1.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
36.5,7.5,2020,5,0.86,89.65,12.52,7.69,1.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
36.5,8.125,2020,5,1.03,91.68,10.99,8.0,2.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
37.0,5.0,2020,5,0.03,71.54,14.46,12.91,1.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
37.0,5.625,2020,5,0.03,73.71,14.56,12.4,2.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
37.0,6.25,2020,5,0.12,75.73,14.31,11.28,3.2,1.0,1.0,4.88,4.88,4.88,343.36,289.34,0.0,
37.0,6.875,2020,5,0.24,76.14,14.72,12.56,3.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
37.0,7.5,2020,5,0.53,75.27,15.31,13.54,4.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
37.0,8.125,2020,5,0.84,76.14,14.83,13.6,4.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
36.0,5.0,2020,6,0.08,79.03,12.34,0.22,1.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
36.0,5.625,2020,6,0.08,78.78,12.17,1.76,1.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
36.0,6.25,2020,6,0.21,82.41,12.52,2.47,1.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
36.0,6.875,2020,6,0.27,86.01,11.89,3.35,0.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
36.0,7.5,2020,6,0.41,87.69,11.65,3.61,1.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
36.0,8.125,2020,6,0.79,88.98,12.69,4.41,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
36.5,5.0,2020,6,0.17,82.26,13.77,3.23,0.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
36.5,5.625,2020,6,0.12,78.0,13.01,5.39,1.22,1.0,1.0,1.18,1.18,1.18,302.59,274.13,0.0,
36.5,6.25,2020,6,0.15,80.82,13.11,4.96,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
36.5,6.875,2020,6,0.15,84.56,13.05,4.16,0.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
36.5,7.5,2020,6,0.32,84.41,13.51,5.54,1.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
36.5,8.125,2020,6,0.65,88.67,12.6,6.67,1.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
37.0,5.0,2020,6,0.05,66.6,15.2,12.44,1.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
37.0,5.625,2020,6,0.1,64.4,15.46,12.44,1.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
37.0,6.25,2020,6,0.08,65.64,14.88,11.13,1.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
37.0,6.875,2020,6,0.06,66.02,15.16,11.15,1.24,1.0,3.0,7.65,2.5500000000000003,2.76,320.34666666666664,281.1266666666666,0.0,
37.0,7.5,2020,6,0.14,70.86,15.43,12.23,1.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
37.0,8.125,2020,6,0.43,78.78,14.61,12.02,2.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
36.0,5.0,2020,7,0.3,85.28,12.03,-0.36,1.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
36.0,5.625,2020,7,0.28,90.37,10.94,0.49,1.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
36.0,6.25,2020,7,0.22,89.22,11.94,1.18,1.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
36.0,6.875,2020,7,0.16,88.77,12.09,1.96,1.41,1.0,1.0,0.76,0.76,0.76,299.2,274.89,0.0,
36.0,7.5,2020,7,0.25,87.04,12.02,3.03,1.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
36.0,8.125,2020,7,0.23,85.77,12.8,4.61,1.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
36.5,5.0,2020,7,0.39,89.16,12.45,5.08,0.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
36.5,5.625,2020,7,0.31,89.98,11.3,5.45,1.34,1.0,2.0,2.47,1.235,1.26,301.485,274.57,0.0,
36.5,6.25,2020,7,0.25,90.01,12.81,3.22,1.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
36.5,6.875,2020,7,0.2,89.51,13.36,3.33,1.46,1.0,3.0,4.859999999999999,1.62,2.07,311.15000000000003,277.06333333333333,0.0,
36.5,7.5,2020,7,0.29,87.43,13.81,5.58,1.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
36.5,8.125,2020,7,0.4,90.2,12.35,6.11,1.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
37.0,5.0,2020,7,0.17,76.11,14.45,12.9,3.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
37.0,5.625,2020,7,0.21,74.78,14.19,13.32,2.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
37.0,6.25,2020,7,0.21,80.31,14.4,9.98,2.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
37.0,6.875,2020,7,0.23,80.74,14.78,10.05,2.64,1.0,17.0,49.94,2.9376470588235293,4.91,323.9217647058824,280.59352941176473,0.0,
37.0,7.5,2020,7,0.37,80.21,14.89,11.14,2.58,1.0,8.0,9.98,1.2475,2.23,308.63,280.12375000000003,0.0,
37.0,8.125,2020,7,0.46,80.2,14.41,11.58,2.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
