osm_id,category,name,lat,lon,capacity_estimate,capacity_source,pm2_5,us_aqi,observation_time,province,is_shelter
health_facility_205,health_facility,CS Kimpese (Centre de Santé),-11.04734499999995,26.50448700000004,30,type_based_estimate_non_shelter,23.6,92.0,2026-08-28T09:00,Haut-Katanga,False
health_facility_206,health_facility,CS Mukumbi (Centre de Santé),-10.999341999999956,26.52377700000005,30,type_based_estimate_non_shelter,24.7,95.0,2026-08-28T09:00,Haut-Katanga,False
health_facility_207,health_facility,SSC Lumba (Site Soin Communautaire),-10.92962499999993,26.56391700000006,15,type_based_estimate_non_shelter,24.7,95.0,2026-08-28T09:00,Haut-Katanga,False
health_facility_208,health_facility,SSC Mukumbi (Site Soin Communautaire),-11.015174999999942,26.44154800000007,15,type_based_estimate_non_shelter,23.6,92.0,2026-08-28T09:00,Haut-Katanga,False
health_facility_209,health_facility,PS Immacule Conception (Poste de Santé),-10.77329999999995,26.622783000000027,15,type_based_estimate_non_shelter,25.4,95.0,2026-08-28T09:00,Haut-Katanga,False
health_facility_210,health_facility,CS Mulungwishi (Centre de Santé),-10.777646999999943,26.629343000000063,30,type_based_estimate_non_shelter,25.4,95.0,2026-08-28T09:00,Haut-Katanga,False
health_facility_211,health_facility,SSC Shamwange (Site Soin Communautaire),-10.66503199999994,26.658547000000056,15,type_based_estimate_non_shelter,25.4,95.0,2026-08-28T09:00,Haut-Katanga,False
health_facility_212,health_facility,Chrina (nan),-11.687499999999943,27.51811100000004,20,type_based_estimate_non_shelter,22.8,88.0,2026-08-28T09:00,Haut-Katanga,False
health_facility_213,health_facility,PS Israel (Poste de Santé),-11.681344999999965,27.51576200000005,15,type_based_estimate_non_shelter,22.8,88.0,2026-08-28T09:00,Haut-Katanga,False
health_facility_214,health_facility,CS Accueil (Centre de Santé),-11.692396999999971,27.519697000000065,30,type_based_estimate_non_shelter,22.8,88.0,2026-08-28T09:00,Haut-Katanga,False
health_facility_215,health_facility,CS Jemira (Centre de Santé),-11.688139999999976,27.517747000000043,30,type_based_estimate_non_shelter,22.8,88.0,2026-08-28T09:00,Haut-Katanga,False
health_facility_216,health_facility,CS La Tendresse (Centre de Santé),-11.68800699999997,27.519623000000024,30,type_based_estimate_non_shelter,22.8,88.0,2026-08-28T09:00,Haut-Katanga,False
health_facility_217,health_facility,CS Mama Wa Mapendo (Centre de Santé),-11.68426999999997,27.51495800000004,30,type_based_estimate_non_shelter,22.8,88.0,2026-08-28T09:00,Haut-Katanga,False
health_facility_218,health_facility,CS Neema 2 (Centre de Santé),-11.693486999999948,27.52111800000005,30,type_based_estimate_non_shelter,22.8,88.0,2026-08-28T09:00,Haut-Katanga,False
health_facility_219,health_facility,CS Saint Bavon (Centre de Santé),-11.680987999999957,27.515270000000044,30,type_based_estimate_non_shelter,22.8,88.0,2026-08-28T09:00,Haut-Katanga,False
health_facility_220,health_facility,CS Usafi (Centre de Santé),-11.688887999999965,27.51967700000006,30,type_based_estimate_non_shelter,22.8,88.0,2026-08-28T09:00,Haut-Katanga,False
health_facility_221,health_facility,CS Vie Et Foi (Centre de Santé),-11.688969999999928,27.522762000000057,30,type_based_estimate_non_shelter,22.8,88.0,2026-08-28T09:00,Haut-Katanga,False
health_facility_222,health_facility,CS Yesu Nijibu (Centre de Santé),-11.688384999999926,27.52218000000005,30,type_based_estimate_non_shelter,22.8,88.0,2026-08-28T09:00,Haut-Katanga,False
health_facility_223,health_facility,POLY L'Amitie (Polyclinque),-11.695146999999965,27.487385000000074,50,type_based_estimate_non_shelter,22.8,88.0,2026-08-28T09:00,Haut-Katanga,False
health_facility_224,health_facility,CS Bon Courage (Centre de Santé),-11.697532999999964,27.487745000000075,30,type_based_estimate_non_shelter,22.8,88.0,2026-08-28T09:00,Haut-Katanga,False
health_facility_225,health_facility,CS Mary (Centre de Santé),-11.693659999999966,27.49190200000004,30,type_based_estimate_non_shelter,22.8,88.0,2026-08-28T09:00,Haut-Katanga,False
health_facility_226,health_facility,CS Saint Moise (Centre de Santé),-11.698226999999974,27.48770600000006,30,type_based_estimate_non_shelter,22.8,88.0,2026-08-28T09:00,Haut-Katanga,False
health_facility_227,health_facility,CS Yebo (Centre de Santé),-11.711502999999936,27.48891500000008,30,type_based_estimate_non_shelter,22.8,88.0,2026-08-28T09:00,Haut-Katanga,False
health_facility_228,health_facility,CSR Mary Elmer (Centre de Santé de Référence),-11.693693999999937,27.49188900000007,50,type_based_estimate_non_shelter,22.8,88.0,2026-08-28T09:00,Haut-Katanga,False
health_facility_229,health_facility,CS Ong Salama (Centre de Santé),-11.708376999999928,27.49118800000008,30,type_based_estimate_non_shelter,22.8,88.0,2026-08-28T09:00,Haut-Katanga,False
health_facility_230,health_facility,CS Adelain (Centre de Santé),-11.66632999999996,27.536227000000054,30,type_based_estimate_non_shelter,22.8,88.0,2026-08-28T09:00,Haut-Katanga,False
health_facility_231,health_facility,CS Amanite 2 (Centre de Santé),-11.663381999999956,27.534903000000043,30,type_based_estimate_non_shelter,22.8,88.0,2026-08-28T09:00,Haut-Katanga,False
health_facility_232,health_facility,Atlas (nan),-11.656632999999944,27.53376700000007,20,type_based_estimate_non_shelter,22.8,88.0,2026-08-28T09:00,Haut-Katanga,False
health_facility_233,health_facility,CS Afev (Centre de Santé),-11.676191999999958,27.536073000000044,30,type_based_estimate_non_shelter,22.8,88.0,2026-08-28T09:00,Haut-Katanga,False
health_facility_234,health_facility,CS Avenir (Centre de Santé),-11.67515499999996,27.531225000000063,30,type_based_estimate_non_shelter,22.8,88.0,2026-08-28T09:00,Haut-Katanga,False
health_facility_235,health_facility,CS Blessing (Centre de Santé),-11.668327999999974,27.532895000000053,30,type_based_estimate_non_shelter,22.8,88.0,2026-08-28T09:00,Haut-Katanga,False
health_facility_236,health_facility,CS Bon Ami (Centre de Santé),-11.671067999999934,27.53143700000004,30,type_based_estimate_non_shelter,22.8,88.0,2026-08-28T09:00,Haut-Katanga,False
health_facility_237,health_facility,CS Efficaces (Centre de Santé),-11.675309999999968,27.53761000000003,30,type_based_estimate_non_shelter,22.8,88.0,2026-08-28T09:00,Haut-Katanga,False
health_facility_238,health_facility,CS Emitra (Centre de Santé),-11.663956999999924,27.521912000000043,30,type_based_estimate_non_shelter,22.8,88.0,2026-08-28T09:00,Haut-Katanga,False
health_facility_239,health_facility,CS Kintwadi (Centre de Santé),-11.666287999999952,27.53612800000008,30,type_based_estimate_non_shelter,22.8,88.0,2026-08-28T09:00,Haut-Katanga,False
